# NAVER 상품정보제공고시 상품군별 필드 제목. type<TAB>field<TAB>title. 출처: NAVER 커머스API 공개 레퍼런스(v2 채널 상품 조회 스키마), 2026-09-18 추출.
wear	returnCostReason	제품하자/오배송에 따른 청약철회 조항
wear	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
wear	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
wear	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
wear	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
wear	material	제품 소재
wear	color	색상
wear	size	치수
wear	manufacturer	제조자(사)
wear	caution	세탁 방법 및 취급 시 주의사항
wear	packDate	제조연월
wear	packDateText	제조연월 직접 입력
wear	warrantyPolicy	품질 보증 기준
wear	afterServiceDirector	A/S 책임자와 전화번호
shoes	returnCostReason	제품하자/오배송에 따른 청약철회 조항
shoes	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
shoes	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
shoes	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
shoes	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
shoes	material	제품의 주 소재
shoes	color	색상
shoes	size	발길이
shoes	height	굽높이
shoes	manufacturer	제조자(사)
shoes	caution	취급 시 주의사항
shoes	warrantyPolicy	품질 보증 기준
shoes	afterServiceDirector	A/S 책임자와 전화번호
bag	returnCostReason	제품하자/오배송에 따른 청약철회 조항
bag	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
bag	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
bag	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
bag	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
bag	type	종류
bag	material	소재
bag	color	색상
bag	size	크기
bag	manufacturer	제조자
bag	caution	취급 시 주의사항
bag	warrantyPolicy	품질 보증 기준
bag	afterServiceDirector	A/S 책임자와 전화번호
fashionItems	returnCostReason	제품하자/오배송에 따른 청약철회 조항
fashionItems	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
fashionItems	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
fashionItems	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
fashionItems	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
fashionItems	type	종류
fashionItems	material	소재
fashionItems	size	치수
fashionItems	manufacturer	제조자(사)
fashionItems	caution	취급 시 주의사항
fashionItems	warrantyPolicy	품질 보증 기준
fashionItems	afterServiceDirector	A/S 책임자와 전화번호
sleepingGear	returnCostReason	제품하자/오배송에 따른 청약철회 조항
sleepingGear	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
sleepingGear	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
sleepingGear	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
sleepingGear	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
sleepingGear	material	제품 소재
sleepingGear	color	색상
sleepingGear	size	치수
sleepingGear	components	제품 구성
sleepingGear	manufacturer	제조자(사)
sleepingGear	caution	세탁 방법 및 취급 시 주의사항
sleepingGear	warrantyPolicy	품질 보증 기준
sleepingGear	afterServiceDirector	A/S 책임자와 전화번호
furniture	returnCostReason	제품하자/오배송에 따른 청약철회 조항
furniture	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
furniture	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
furniture	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
furniture	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
furniture	itemName	품명
furniture	certificationType	KC 인증정보
furniture	color	색상
furniture	components	구성품
furniture	material	주요 소재
furniture	manufacturer	제조자(사)
furniture	importer	수입자
furniture	producer	제조국
furniture	size	크기
furniture	installedCharge	배송 설치 비용
furniture	warrantyPolicy	품질 보증 기준
furniture	refurb	재공급 사유 및 하자
furniture	afterServiceDirector	A/S 책임자와 전화번호
imageAppliances	returnCostReason	제품하자/오배송에 따른 청약철회 조항
imageAppliances	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
imageAppliances	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
imageAppliances	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
imageAppliances	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
imageAppliances	itemName	품명
imageAppliances	modelName	모델명
imageAppliances	certificationType	KC 인증정보
imageAppliances	ratedVoltage	정격전압
imageAppliances	powerConsumption	소비전력
imageAppliances	energyEfficiencyRating	에너지소비효율등급
imageAppliances	releaseDate	동일 모델의 출시연월
imageAppliances	releaseDateText	동일 모델 출시연월일 직접 입력
imageAppliances	manufacturer	제조자(사)
imageAppliances	size	크기, 형태
imageAppliances	additionalCost	추가 설치 비용
imageAppliances	displaySpecification	화면 사양
imageAppliances	warrantyPolicy	품질 보증 기준
imageAppliances	afterServiceDirector	A/S 책임자와 전화번호
homeAppliances	returnCostReason	제품하자/오배송에 따른 청약철회 조항
homeAppliances	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
homeAppliances	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
homeAppliances	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
homeAppliances	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
homeAppliances	itemName	품명
homeAppliances	modelName	모델명
homeAppliances	certificationType	KC 인증정보
homeAppliances	ratedVoltage	정격전압
homeAppliances	powerConsumption	소비전력
homeAppliances	energyEfficiencyRating	에너지소비효율등급
homeAppliances	releaseDate	동일 모델의 출시연월
homeAppliances	releaseDateText	동일 모델 출시연월일 직접 입력
homeAppliances	manufacturer	제조자(사)
homeAppliances	size	크기, 용량, 형태
homeAppliances	additionalCost	추가 설치 비용
homeAppliances	warrantyPolicy	품질 보증 기준
homeAppliances	afterServiceDirector	A/S 책임자와 전화번호
seasonAppliances	returnCostReason	제품하자/오배송에 따른 청약철회 조항
seasonAppliances	noRefundReason	제품하자가 아닌 소비자의 단순변심에 따른 청약철회가 불가능한 경우 그 구체적 사유와 근거
seasonAppliances	qualityAssuranceStandard	재화 등의 교환ㆍ반품ㆍ보증 조건 및 품질 보증 기준
seasonAppliances	compensationProcedure	대금을 환불받기 위한 방법과 환불이 지연될 경우 지연배상금을 지급받을 수 있다는 사실 및 배상금 지급의 구체적인 조건·절차
seasonAppliances	troubleShootingContents	소비자피해보상의 처리, 재화 등에 대한 불만 처리 및 소비자와 사업자 사이의 분쟁 처리에 관한 사항
seasonAppliances	itemName	품명
seasonAppliances	modelName	모델명
seasonAppliances	certificationType	KC 인증정보
seasonAppliances	ratedVoltage	정격전압
seasonAppliances	powerConsumption	소비전력
seasonAppliances	energyEfficiencyRating	에너지소비효율등급
seasonAppliances	releaseDateText	동일 모델 출시연월 직접 입력
seasonAppliances	manufacturer	제조자(사)
seasonAppliances	size	크기, 형태
seasonAppliances	area	냉난방 면적
seasonAppliances	installedCharge	추가 설치 비용
seasonAppliances	warrantyPolicy	품질 보증 기준
seasonAppliances	afterServiceDirector	A/S 책임자와 전화번호
officeAppliances	returnCostReason	제품하자/오배송에 따른 청약철회 조항
