brand,product_name,source_channel,source_url,category_hint,priority,notes
메디힐,메디힐 더마 패드 200매 대용량,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,skincare_pad,1,3.7년 코퍼스 3170건 · 5점 send-as-is 기준점
티르티르,티르티르 마스크 핏 레드 쿠션,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202912,base_makeup,1,401건 · 색상 미스매치 79건 dominant
힌스,힌스 로 글로우 젤 틴트,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238828,lip_makeup,2,817건 · 가장 큰 lip 코퍼스
무지개맨션,무지개맨션 오브제 워터 틴트,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185439,lip_makeup,2,461건 · 가장 깨끗한 헤더
퓌,퓌 립앤치크 블러리 푸딩팟,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226889,makeup_blush,3,117건 · 신상 소형 corpus 시연
니들리,니들리 데일리 토너 패드,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250255,skincare_pad,3,60건 · 신상 hold 후보
비플레인,비플레인 녹두 약산성 클렌징폼,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224688,cleansing,3,50건 · cleansing 프로파일 미매핑
# 아래 13건은 채워 넣을 자리입니다. 위 7건과 동일 컬럼 순서로 작성하세요.
# brand,product_name,source_channel,source_url,category_hint,priority,notes
# (8) ,,,,,,
# (9) ,,,,,,
# (10) ,,,,,,
# (11) ,,,,,,
# (12) ,,,,,,
# (13) ,,,,,,
# (14) ,,,,,,
# (15) ,,,,,,
# (16) ,,,,,,
# (17) ,,,,,,
# (18) ,,,,,,
# (19) ,,,,,,
# (20) ,,,,,,
